Scientific Name,Classification,Lowest Price RON,Highest Price RON,Water Level Area,Temp C Low ,Temp C High ,Hardness dH Low,Hardness dH High,pH Low,pH High,Display Name,Budget Category,Habitat Type,Experience Level,Tank Size Category,Distribution,MacroRegion,Picture URL,Note
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,15.5,15.5,Mid/Top Water,20,26,10,30,7,8.2,Platy (bumble bee),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.7,10.7,Mid/Top Water,20,26,10,30,7,8.2,Platy (red tiger),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,9.99,9.99,Mid/Top Water,20,26,10,30,7,8.2,Platy (apple),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,11.13,11.13,Mid/Top Water,20,26,10,30,7,8.2,Platy (neon sunset),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,13.1,13.1,Mid/Top Water,20,26,10,30,7,8.2,Platy (mickey mouse red simpson),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,11.64,11.64,Mid/Top Water,20,26,10,30,7,8.2,Platy (yellow tuxedo),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,9.95,13.13,Mid/Top Water,20,26,10,30,7,8.2,Platy (mix),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,9.95,9.95,Mid/Top Water,20,26,10,30,7,8.2,Platy (blue),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.05,10.05,Mid/Top Water,20,26,10,30,7,8.2,Platy (apple tricolor hi-fin),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.05,10.05,Mid/Top Water,20,26,10,30,7,8.2,Platy (tuxedo blue),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
