Scientific Name,Compatibility Tag
Xiphophorus maculatus,Peaceful Fish
Xiphophorus maculatus,Medium-Sized Fish
Xiphophorus maculatus,Small Fish
Xiphophorus maculatus,Long-Finned Fish
Xiphophorus helleri,Medium-Sized Fish
Xiphophorus helleri,Peaceful Fish
Poecilia sphenops,Active Fish
Poecilia sphenops,Medium-Sized Fish
Poecilia reticulata,Small Fish
Poecilia reticulata,Peaceful Fish
Poecilia reticulata,Long-Finned Fish
Poecilia reticulata,Very Small Fish
Poecilia wingei,Small Fish
Poecilia wingei,Peaceful Fish
Poecilia wingei,Long-Finned Fish
Poecilia wingei,Very Small Fish
Poecilia latipinna,Medium-Sized Fish
Poecilia latipinna,Long-Finned Fish
Poecilia latipinna,Peaceful Fish
Poecilia velifera,Medium-Sized Fish
Poecilia velifera,Long-Finned Fish
Poecilia velifera,Peaceful Fish
Xiphophorus pygmaeus,Small Fish
Xiphophorus pygmaeus,Long-Finned Fish
Xiphophorus pygmaeus,Peaceful Fish
Xiphophorus variatus,Small Fish
Xiphophorus variatus,Peaceful Fish
Xiphophorus variatus,Long-Finned Fish
Skiffia multipunctata,Peaceful Fish
Skiffia multipunctata,Small Fish
Dermogenys pusilla,Small Fish
Dermogenys pusilla,Peaceful Fish
Dermogenys pusilla,Long-Finned Fish
Xenotoca eiseni,Same Species Only
Poecilia salvatoris,Same Species Only
Neoheterandria elegans,Same Species Only
Girardinus falcatus,Peaceful Fish
Girardinus falcatus,Small Fish
Alfaro cultratus,Same Species Only
Alfaro cultratus,Medium-Sized Fish
Ameca splendens,Medium-Sized Fish
Ameca splendens,Active Fish
Chapalichthys pardalis,Medium-Sized Fish
Chapalichthys pardalis,Active Fish
Chapalichthys pardalis,Peaceful Fish
Limia perugiae,Small Fish
Limia perugiae,Peaceful Fish
Limia perugiae,Long-Finned Fish
Mikrogeophagus ramirezi,Small Fish
Mikrogeophagus ramirezi,Peaceful Fish
Apistogramma abacaxis,Small Fish
Apistogramma abacaxis,Peaceful Fish
Dicrossus maculatus,Small Fish
Dicrossus maculatus,Peaceful Fish
Dicrossus filamentosus,Small Fish
Dicrossus filamentosus,Peaceful Fish
Apistogramma hoignei,Small Fish
Apistogramma hoignei,Same Species Only
Apistogramma diplotaenia,Small Fish
Apistogramma diplotaenia,Peaceful Fish
Apistogramma caetei,Small Fish
