Scientific Name,Common Name,Distribution,Habitat,Minimum Aquarium Size in Litres,Aquarium Setup,Difficulty,Diet,Grouping,Compatibility,Behaviour,Water Level Area,Temp C Low ,Temp C High ,pH Low,pH High,Hardness dH Low,Hardness dH High
Xiphophorus maculatus,Platy,Central America,"Rivers, Streams",60,Unfussy,Very Easy,Unfussy,Small Groups,"Peaceful Fish, Medium-Sized Fish, Small Fish, Long-Finned Fish",Peaceful,Mid/Top Water,20,26,7,8.2,10,30
Xiphophorus helleri,Swordtail,Central America,"Rivers, Streams, Ponds, Pools, Canals, Other Environments",75,Unfussy,Very Easy,Unfussy,Small Groups,"Medium-Sized Fish, Peaceful Fish",Peaceful,Mid/Top Water,16,28,7,8,10,25
Poecilia sphenops,Black Molly,Central America,"Ponds, Canals, Pools",80,Planted,Very Easy,Unfussy,Groups,"Active Fish, Medium-Sized Fish",Generally Peaceful,Mid/Top Water,21,28,7,8.5,15,30
Poecilia reticulata,Guppy,Northeastern South America,"Rivers, Streams, Swamp, Ponds, Pools, Brackish, Lakes",40,Unfussy,Very Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Mid/Top Water,17,28,7,8.5,8,30
Poecilia wingei,Endler's Livebearer,Venezuela,"Pools, Ponds, Swamp, Lakes",40,Planted,Very Easy,Unfussy,Shoaling,"Small Fish, Peaceful Fish, Long-Finned Fish, Very Small Fish",Very Peaceful,Mid/Top Water,24,30,7,8.5,15,35
Poecilia latipinna,Sailfin Molly,Southern North America,"Brackish, Streams, Ponds, Swamp, Canals",40,Planted,Easy,Unfussy,Small Groups,"Medium-Sized Fish, Long-Finned Fish, Peaceful Fish",Generally Peaceful,Mid/Top Water,21,26,7,8.5,15,35
Poecilia velifera,Giant Sailfin Molly,Mexico,"Ponds, Pools, Swamp, Brackish, Streams",100,Heavily-Planted,Moderately Difficult,Unfussy,Small Groups,"Medium-Sized Fish, Long-Finned Fish, Peaceful Fish",Peaceful,Mid/Top Water,22,28,7,8.5,15,35
Xiphophorus pygmaeus,Pygmy Swordtail,Mexico,"Streams, Canals",40,Heavily-Planted,Moderately Difficult,Unfussy,Small Groups,"Small Fish, Long-Finned Fish, Peaceful Fish",Very Peaceful,Mid/Top Water,22,26,7,8,8,20
Xiphophorus variatus,Variable Platy,Mexico,"Ponds, Swamp, Canals, Streams",60,Planted,Easy,Unfussy,Small Groups,"Small Fish, Peaceful Fish, Long-Finned Fish",Peaceful,Mid/Top Water,20,26,7,8.2,14,30
Skiffia multipunctata,Spotted skiffia,Mexico,"Lakes, Ponds, Rivers, Canals",40,Planted,Easy,Unfussy,Small Groups,"Peaceful Fish, Small Fish",Peaceful,Bottom/Mid Water,25,27,7,8.5,15,25
