Scientific Name,Habitat
Xiphophorus maculatus,Rivers
Xiphophorus maculatus,Streams
Xiphophorus helleri,Rivers
Xiphophorus helleri,Streams
Xiphophorus helleri,Ponds
Xiphophorus helleri,Pools
Xiphophorus helleri,Canals
Xiphophorus helleri,Other Environments
Poecilia sphenops,Ponds
Poecilia sphenops,Canals
Poecilia sphenops,Pools
Poecilia reticulata,Rivers
Poecilia reticulata,Streams
Poecilia reticulata,Swamp
Poecilia reticulata,Ponds
Poecilia reticulata,Pools
Poecilia reticulata,Brackish
Poecilia reticulata,Lakes
Poecilia wingei,Pools
Poecilia wingei,Ponds
Poecilia wingei,Swamp
Poecilia wingei,Lakes
Poecilia latipinna,Brackish
Poecilia latipinna,Streams
Poecilia latipinna,Ponds
Poecilia latipinna,Swamp
Poecilia latipinna,Canals
Poecilia velifera,Ponds
Poecilia velifera,Pools
Poecilia velifera,Swamp
Poecilia velifera,Brackish
Poecilia velifera,Streams
Xiphophorus pygmaeus,Streams
Xiphophorus pygmaeus,Canals
Xiphophorus variatus,Ponds
Xiphophorus variatus,Swamp
Xiphophorus variatus,Canals
Xiphophorus variatus,Streams
Skiffia multipunctata,Lakes
Skiffia multipunctata,Ponds
Skiffia multipunctata,Rivers
Skiffia multipunctata,Canals
Dermogenys pusilla,Rivers
Dermogenys pusilla,Canals
Dermogenys pusilla,Lakes
Dermogenys pusilla,Ponds
Dermogenys pusilla,Brackish
Dermogenys pusilla,Flooded Areas
Xenotoca eiseni,Rivers
Xenotoca eiseni,Streams
Xenotoca eiseni,Canals
Xenotoca eiseni,Pools
Xenotoca eiseni,Ponds
Xenotoca eiseni,Swamp
Xenotoca eiseni,Lakes
Poecilia salvatoris,Rivers
Poecilia salvatoris,Streams
Poecilia salvatoris,Canals
Poecilia salvatoris,Ponds
Neoheterandria elegans,Rivers
Neoheterandria elegans,Streams
Neoheterandria elegans,Canals
Girardinus falcatus,Ponds
Girardinus falcatus,Lakes
Girardinus falcatus,Streams
Alfaro cultratus,Rivers
Alfaro cultratus,Streams
Alfaro cultratus,Canals
Ameca splendens,Streams
Chapalichthys pardalis,Pools
Chapalichthys pardalis,Ponds
Limia perugiae,Streams
Limia perugiae,Brackish
Limia perugiae,Rivers
Limia perugiae,Lakes
Mikrogeophagus ramirezi,Rivers
Mikrogeophagus ramirezi,Flooded Areas
Mikrogeophagus ramirezi,Streams
Mikrogeophagus ramirezi,Pools
Apistogramma abacaxis,Streams
Apistogramma abacaxis,Lakes
Apistogramma abacaxis,Pools
Dicrossus maculatus,Rivers
Dicrossus maculatus,Streams
Dicrossus filamentosus,Rivers
Dicrossus filamentosus,Streams
Apistogramma hoignei,Rivers
Apistogramma hoignei,Streams
Apistogramma diplotaenia,Rivers
Apistogramma diplotaenia,Streams
Apistogramma diplotaenia,Pools
Apistogramma caetei,Rivers
Apistogramma caetei,Streams
Apistogramma agassizi,Rivers
Apistogramma agassizi,Streams
Taeniacara candidi,Rivers
Taeniacara candidi,Streams
Apistogramma eremnopyge,Rivers
Apistogramma eremnopyge,Streams
Nannacara,Flooded Areas
Nannacara,Streams
Apistogramma staecki,Flooded Areas
